relative_path,filename,extension,subdirectory,size_bytes,modified_utc
docs/alternateModeInfrastructureComponentTerms-pattern.ttl,alternateModeInfrastructureComponentTerms-pattern.ttl,.ttl,.,6244,2026-07-01 19:52:47
docs/architectureCommunicationViewTerms-pattern.ttl,architectureCommunicationViewTerms-pattern.ttl,.ttl,.,5939,2026-09-21 17:30:49
docs/architectureEnterpriseViewTerms-pattern.ttl,architectureEnterpriseViewTerms-pattern.ttl,.ttl,.,5090,2026-07-10 15:28:58
docs/architectureFunctionalViewTerms-pattern.ttl,architectureFunctionalViewTerms-pattern.ttl,.ttl,.,2165,2026-07-01 19:52:47
docs/architecturePhysicalViewTerms-pattern.ttl,architecturePhysicalViewTerms-pattern.ttl,.ttl,.,5453,2026-07-01 19:52:47
docs/architectureTypeTerms-pattern.ttl,architectureTypeTerms-pattern.ttl,.ttl,.,4818,2026-07-01 19:52:47
docs/architectureViewTerms-pattern.ttl,architectureViewTerms-pattern.ttl,.ttl,.,6496,2026-07-01 19:52:47
docs/centrePhysicalObjectTerms-pattern.ttl,centrePhysicalObjectTerms-pattern.ttl,.ttl,.,3933,2026-07-01 19:52:47
docs/conceptRealizationTerms-pattern.ttl,conceptRealizationTerms-pattern.ttl,.ttl,.,4128,2026-07-01 19:52:47
docs/contractualModelTerms-pattern.ttl,contractualModelTerms-pattern.ttl,.ttl,.,3014,2026-07-01 19:52:47
docs/core.ttl,core.ttl,.ttl,.,2102,2026-07-01 19:52:47
docs/coreTerms-group.ttl,coreTerms-group.ttl,.ttl,.,1335,2026-07-01 19:52:47
docs/dataConceptManagementTerms-pattern.ttl,dataConceptManagementTerms-pattern.ttl,.ttl,.,3740,2026-07-01 19:52:47
docs/dataConceptTypeTerms-pattern.ttl,dataConceptTypeTerms-pattern.ttl,.ttl,.,4666,2026-07-01 19:52:47
docs/deviceComponentTerms-pattern.ttl,deviceComponentTerms-pattern.ttl,.ttl,.,1734,2026-07-01 19:52:47
docs/diagrams/ADS-dedicated vehicle.dot,ADS-dedicated vehicle.dot,.dot,diagrams,913,2026-09-21 20:45:33
docs/diagrams/ADS-dedicated vehicle.dot.png,ADS-dedicated vehicle.dot.png,.png,diagrams,6342,2026-09-21 20:45:33
docs/diagrams/ADS-dedicated vehicle.dot.svg,ADS-dedicated vehicle.dot.svg,.svg,diagrams,2025,2026-09-21 20:45:33
docs/diagrams/ADS-equipped vehicle.dot,ADS-equipped vehicle.dot,.dot,diagrams,1199,2026-09-21 20:45:34
docs/diagrams/ADS-equipped vehicle.dot.png,ADS-equipped vehicle.dot.png,.png,diagrams,9514,2026-09-21 20:45:34
docs/diagrams/ADS-equipped vehicle.dot.svg,ADS-equipped vehicle.dot.svg,.svg,diagrams,3058,2026-09-21 20:45:34
docs/diagrams/ADS.dot,ADS.dot,.dot,diagrams,1626,2026-09-21 20:45:33
docs/diagrams/ADS.dot.png,ADS.dot.png,.png,diagrams,18884,2026-09-21 20:45:33
docs/diagrams/ADS.dot.svg,ADS.dot.svg,.svg,diagrams,4356,2026-09-21 20:45:33
docs/diagrams/B2C mobility sharing app.dot,B2C mobility sharing app.dot,.dot,diagrams,889,2026-09-21 20:45:36
docs/diagrams/B2C mobility sharing app.dot.png,B2C mobility sharing app.dot.png,.png,diagrams,5932,2026-09-21 20:45:36
docs/diagrams/B2C mobility sharing app.dot.svg,B2C mobility sharing app.dot.svg,.svg,diagrams,1987,2026-09-21 20:45:36
docs/diagrams/DDT performance-relevant system failure.dot,DDT performance-relevant system failure.dot,.dot,diagrams,647,2026-09-21 20:45:41
docs/diagrams/DDT performance-relevant system failure.dot.png,DDT performance-relevant system failure.dot.png,.png,diagrams,4237,2026-09-21 20:45:41
docs/diagrams/DDT performance-relevant system failure.dot.svg,DDT performance-relevant system failure.dot.svg,.svg,diagrams,1145,2026-09-21 20:45:41
docs/diagrams/ISO named area.dot,ISO named area.dot,.dot,diagrams,572,2026-09-21 20:45:52
docs/diagrams/ISO named area.dot.png,ISO named area.dot.png,.png,diagrams,2389,2026-09-21 20:45:52
docs/diagrams/ISO named area.dot.svg,ISO named area.dot.svg,.svg,diagrams,1044,2026-09-21 20:45:52
docs/diagrams/ITS application role.dot,ITS application role.dot,.dot,diagrams,853,2026-09-21 20:45:52
docs/diagrams/ITS application role.dot.png,ITS application role.dot.png,.png,diagrams,5221,2026-09-21 20:45:52
docs/diagrams/ITS application role.dot.svg,ITS application role.dot.svg,.svg,diagrams,1861,2026-09-21 20:45:52
docs/diagrams/ITS application specification.dot,ITS application specification.dot,.dot,diagrams,1448,2026-09-21 20:45:52
docs/diagrams/ITS application specification.dot.png,ITS application specification.dot.png,.png,diagrams,16118,2026-09-21 20:45:52
docs/diagrams/ITS application specification.dot.svg,ITS application specification.dot.svg,.svg,diagrams,3467,2026-09-21 20:45:52
docs/diagrams/ITS application.dot,ITS application.dot,.dot,diagrams,1368,2026-09-21 20:45:52
docs/diagrams/ITS application.dot.png,ITS application.dot.png,.png,diagrams,15342,2026-09-21 20:45:52
docs/diagrams/ITS application.dot.svg,ITS application.dot.svg,.svg,diagrams,3413,2026-09-21 20:45:52
docs/diagrams/ITS component.dot,ITS component.dot,.dot,diagrams,1255,2026-09-21 20:45:52
docs/diagrams/ITS component.dot.png,ITS component.dot.png,.png,diagrams,10068,2026-09-21 20:45:52
docs/diagrams/ITS component.dot.svg,ITS component.dot.svg,.svg,diagrams,3084,2026-09-21 20:45:52
docs/diagrams/ITS deployment architecture.dot,ITS deployment architecture.dot,.dot,diagrams,945,2026-09-21 20:45:52
docs/diagrams/ITS deployment architecture.dot.png,ITS deployment architecture.dot.png,.png,diagrams,7496,2026-09-21 20:45:52
docs/diagrams/ITS deployment architecture.dot.svg,ITS deployment architecture.dot.svg,.svg,diagrams,2068,2026-09-21 20:45:52
docs/diagrams/ITS deployment.dot,ITS deployment.dot,.dot,diagrams,982,2026-09-21 20:45:52
docs/diagrams/ITS deployment.dot.png,ITS deployment.dot.png,.png,diagrams,8222,2026-09-21 20:45:52
docs/diagrams/ITS deployment.dot.svg,ITS deployment.dot.svg,.svg,diagrams,2222,2026-09-21 20:45:52
docs/diagrams/ITS implementation.dot,ITS implementation.dot,.dot,diagrams,982,2026-09-21 20:45:52
docs/diagrams/ITS implementation.dot.png,ITS implementation.dot.png,.png,diagrams,8076,2026-09-21 20:45:52
docs/diagrams/ITS implementation.dot.svg,ITS implementation.dot.svg,.svg,diagrams,2240,2026-09-21 20:45:52
docs/diagrams/ITS on-board equipment.dot,ITS on-board equipment.dot,.dot,diagrams,1307,2026-09-21 20:45:53
docs/diagrams/ITS on-board equipment.dot.png,ITS on-board equipment.dot.png,.png,diagrams,10911,2026-09-21 20:45:53
docs/diagrams/ITS on-board equipment.dot.svg,ITS on-board equipment.dot.svg,.svg,diagrams,3217,2026-09-21 20:45:53
docs/diagrams/ITS on-board unit.dot,ITS on-board unit.dot,.dot,diagrams,869,2026-09-21 20:45:53
docs/diagrams/ITS on-board unit.dot.png,ITS on-board unit.dot.png,.png,diagrams,4613,2026-09-21 20:45:53
docs/diagrams/ITS on-board unit.dot.svg,ITS on-board unit.dot.svg,.svg,diagrams,1969,2026-09-21 20:45:53
docs/diagrams/ITS planning architecture.dot,ITS planning architecture.dot,.dot,diagrams,929,2026-09-21 20:45:53
docs/diagrams/ITS planning architecture.dot.png,ITS planning architecture.dot.png,.png,diagrams,6347,2026-09-21 20:45:53
docs/diagrams/ITS planning architecture.dot.svg,ITS planning architecture.dot.svg,.svg,diagrams,2042,2026-09-21 20:45:53
docs/diagrams/ITS reference architecture.dot,ITS reference architecture.dot,.dot,diagrams,937,2026-09-21 20:45:53
docs/diagrams/ITS reference architecture.dot.png,ITS reference architecture.dot.png,.png,diagrams,5504,2026-09-21 20:45:53
docs/diagrams/ITS reference architecture.dot.svg,ITS reference architecture.dot.svg,.svg,diagrams,2057,2026-09-21 20:45:53
docs/diagrams/ITS roadside equipment.dot,ITS roadside equipment.dot,.dot,diagrams,881,2026-09-21 20:45:53
docs/diagrams/ITS roadside equipment.dot.png,ITS roadside equipment.dot.png,.png,diagrams,6037,2026-09-21 20:45:53
docs/diagrams/ITS roadside equipment.dot.svg,ITS roadside equipment.dot.svg,.svg,diagrams,1969,2026-09-21 20:45:53
docs/diagrams/ITS service provider.dot,ITS service provider.dot,.dot,diagrams,1269,2026-09-21 20:45:53
docs/diagrams/ITS service provider.dot.png,ITS service provider.dot.png,.png,diagrams,10573,2026-09-21 20:45:53
docs/diagrams/ITS service provider.dot.svg,ITS service provider.dot.svg,.svg,diagrams,3092,2026-09-21 20:45:53
docs/diagrams/ITS service.dot,ITS service.dot,.dot,diagrams,1493,2026-09-21 20:45:53
docs/diagrams/ITS service.dot.png,ITS service.dot.png,.png,diagrams,12987,2026-09-21 20:45:53
docs/diagrams/ITS service.dot.svg,ITS service.dot.svg,.svg,diagrams,4028,2026-09-21 20:45:53
docs/diagrams/ITS station.dot,ITS station.dot,.dot,diagrams,1741,2026-09-21 20:45:53
docs/diagrams/ITS station.dot.png,ITS station.dot.png,.png,diagrams,19917,2026-09-21 20:45:54
docs/diagrams/ITS station.dot.svg,ITS station.dot.svg,.svg,diagrams,4474,2026-09-21 20:45:53
docs/diagrams/ITS trust domain.dot,ITS trust domain.dot,.dot,diagrams,925,2026-09-21 20:45:54
docs/diagrams/ITS trust domain.dot.png,ITS trust domain.dot.png,.png,diagrams,6023,2026-09-21 20:45:54
docs/diagrams/ITS trust domain.dot.svg,ITS trust domain.dot.svg,.svg,diagrams,1987,2026-09-21 20:45:54
docs/diagrams/ITS user need.dot,ITS user need.dot,.dot,diagrams,1194,2026-09-21 20:45:54
docs/diagrams/ITS user need.dot.png,ITS user need.dot.png,.png,diagrams,8057,2026-09-21 20:45:54
docs/diagrams/ITS user need.dot.svg,ITS user need.dot.svg,.svg,diagrams,2996,2026-09-21 20:45:54
docs/diagrams/ITS user.dot,ITS user.dot,.dot,diagrams,1209,2026-09-21 20:45:54
docs/diagrams/ITS user.dot.png,ITS user.dot.png,.png,diagrams,8238,2026-09-21 20:45:54
docs/diagrams/ITS user.dot.svg,ITS user.dot.svg,.svg,diagrams,3028,2026-09-21 20:45:54
docs/diagrams/ITS-S access layer.dot,ITS-S access layer.dot,.dot,diagrams,865,2026-09-21 20:45:54
docs/diagrams/ITS-S access layer.dot.png,ITS-S access layer.dot.png,.png,diagrams,4671,2026-09-21 20:45:54
docs/diagrams/ITS-S access layer.dot.svg,ITS-S access layer.dot.svg,.svg,diagrams,1969,2026-09-21 20:45:54
docs/diagrams/ITS-S application implementation.dot,ITS-S application implementation.dot,.dot,diagrams,1075,2026-09-21 20:45:54
docs/diagrams/ITS-S application implementation.dot.png,ITS-S application implementation.dot.png,.png,diagrams,8527,2026-09-21 20:45:54
docs/diagrams/ITS-S application implementation.dot.svg,ITS-S application implementation.dot.svg,.svg,diagrams,2388,2026-09-21 20:45:54
docs/diagrams/ITS-S application installation.dot,ITS-S application installation.dot,.dot,diagrams,1017,2026-09-21 20:45:54
docs/diagrams/ITS-S application installation.dot.png,ITS-S application installation.dot.png,.png,diagrams,6092,2026-09-21 20:45:54
docs/diagrams/ITS-S application installation.dot.svg,ITS-S application installation.dot.svg,.svg,diagrams,2164,2026-09-21 20:45:54
docs/diagrams/ITS-S application process installation.dot,ITS-S application process installation.dot,.dot,diagrams,1140,2026-09-21 20:45:55
docs/diagrams/ITS-S application process installation.dot.png,ITS-S application process installation.dot.png,.png,diagrams,9245,2026-09-21 20:45:55
docs/diagrams/ITS-S application process installation.dot.svg,ITS-S application process installation.dot.svg,.svg,diagrams,2469,2026-09-21 20:45:55
docs/diagrams/ITS-S application process.dot,ITS-S application process.dot,.dot,diagrams,1387,2026-09-21 20:45:54
docs/diagrams/ITS-S application process.dot.png,ITS-S application process.dot.png,.png,diagrams,16638,2026-09-21 20:45:55
docs/diagrams/ITS-S application process.dot.svg,ITS-S application process.dot.svg,.svg,diagrams,3470,2026-09-21 20:45:54
docs/diagrams/ITS-S application.dot,ITS-S application.dot,.dot,diagrams,1326,2026-09-21 20:45:54
docs/diagrams/ITS-S application.dot.png,ITS-S application.dot.png,.png,diagrams,11236,2026-09-21 20:45:54
docs/diagrams/ITS-S application.dot.svg,ITS-S application.dot.svg,.svg,diagrams,3222,2026-09-21 20:45:54
docs/diagrams/ITS-S communication unit.dot,ITS-S communication unit.dot,.dot,diagrams,1020,2026-09-21 20:45:55
docs/diagrams/ITS-S communication unit.dot.png,ITS-S communication unit.dot.png,.png,diagrams,8427,2026-09-21 20:45:55
docs/diagrams/ITS-S communication unit.dot.svg,ITS-S communication unit.dot.svg,.svg,diagrams,2282,2026-09-21 20:45:55
docs/diagrams/ITS-S host.dot,ITS-S host.dot,.dot,diagrams,829,2026-09-21 20:45:55
docs/diagrams/ITS-S host.dot.png,ITS-S host.dot.png,.png,diagrams,3841,2026-09-21 20:45:55
docs/diagrams/ITS-S host.dot.svg,ITS-S host.dot.svg,.svg,diagrams,1926,2026-09-21 20:45:55
docs/diagrams/ITS-S node.dot,ITS-S node.dot,.dot,diagrams,1240,2026-09-21 20:45:55
docs/diagrams/ITS-S node.dot.png,ITS-S node.dot.png,.png,diagrams,12929,2026-09-21 20:45:55
docs/diagrams/ITS-S node.dot.svg,ITS-S node.dot.svg,.svg,diagrams,3156,2026-09-21 20:45:55
docs/diagrams/ITS-S reference architecture.dot,ITS-S reference architecture.dot,.dot,diagrams,3276,2026-09-21 20:45:55
docs/diagrams/ITS-S reference architecture.dot.png,ITS-S reference architecture.dot.png,.png,diagrams,50080,2026-09-21 20:45:55
docs/diagrams/ITS-S reference architecture.dot.svg,ITS-S reference architecture.dot.svg,.svg,diagrams,9201,2026-09-21 20:45:55
docs/diagrams/ITS-S router.dot,ITS-S router.dot,.dot,diagrams,837,2026-09-21 20:45:55
docs/diagrams/ITS-S router.dot.png,ITS-S router.dot.png,.png,diagrams,3847,2026-09-21 20:45:55
docs/diagrams/ITS-S router.dot.svg,ITS-S router.dot.svg,.svg,diagrams,1936,2026-09-21 20:45:55
docs/diagrams/ITS-S service.dot,ITS-S service.dot,.dot,diagrams,827,2026-09-21 20:45:55
docs/diagrams/ITS-S service.dot.png,ITS-S service.dot.png,.png,diagrams,3790,2026-09-21 20:45:55
docs/diagrams/ITS-S service.dot.svg,ITS-S service.dot.svg,.svg,diagrams,1882,2026-09-21 20:45:55
docs/diagrams/ITS-S unit.dot,ITS-S unit.dot,.dot,diagrams,1339,2026-09-21 20:45:56
docs/diagrams/ITS-S unit.dot.png,ITS-S unit.dot.png,.png,diagrams,14717,2026-09-21 20:45:56
docs/diagrams/ITS-S unit.dot.svg,ITS-S unit.dot.svg,.svg,diagrams,3428,2026-09-21 20:45:56
docs/diagrams/ITS-SU service provider.dot,ITS-SU service provider.dot,.dot,diagrams,1647,2026-09-21 20:45:56
docs/diagrams/ITS-SU service provider.dot.png,ITS-SU service provider.dot.png,.png,diagrams,16176,2026-09-21 20:45:56
